GeneID,Transport and binding,Energy Metabolism,Amino Acid Metabolism,motility,other regulatory functions,cell division,Metabolism of Cofactors and Vitamins,Nucleotide Metabolism,Chemotaxis,Signal transduction
G1FLP-809,,,X,,,,,X,,
G1FLP-3084,,X,,,,,,,,
G1FLP-2927,,,,,,,,X,,
G1FLP-3078,,X,,,,,,,,
G1FLP-2309,,,,,,,,X,,
G1FLP-1711,,,X,,,,,X,,
G1FLP-3079,,X,,,,,,,,
G1FLP-1583,,,,,,,,X,,
G1FLP-1709,,,,,,,X,X,,
G1FLP-1445,,,,,,,,X,,
G1FLP-1067,,X,,,,,,,,
G1FLP-2055,,,,,,,,X,,
G1FLP-469,,,,,,,X,X,,
G1FLP-3077,,X,,,,,,,,
G1FLP-225,,,,,,,,X,,
G1FLP-1710,,,,,,,,X,,
G1FLP-1759,,,X,,,,,X,,
G1FLP-3076,,X,,,,,,,,
G1FLP-70,,,X,,,,,X,,
G1FLP-1715,,,,,,,,X,,
G1FLP-1760,,,,,,,,X,,
G1FLP-3082,,X,,,,,,,,
G1FLP-1812,,,,,,,,X,,
G1FLP-1066,,X,,,,,,,,
G1FLP-2393,X,,,,,,,,,
G1FLP-1065,,X,,,,,,,,
G1FLP-1794,,,,X,X,X,,X,X,X
G1FLP-1713,,,,,,,,X,,
G1FLP-495,,,X,,,,,X,,
G1FLP-1072,,X,,,,,,,,
G1FLP-1811,,,,,,,,X,,
G1FLP-3083,,X,,,,,,,,
G1FLP-1070,,,,,,,,,,
G1FLP-1712,,,,,,,,X,,
G1FLP-3081,,X,,,,,,,,
G1FLP-224,,,,,,,,X,,
G1FLP-1068,,,,,,,,,,
G1FLP-1069,,X,,,,,,,,
G1FLP-3080,,X,,,,,,,,
G1FLP-1714,,,,,,,,X,,
